"created per month",filters,filters,Count
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1602.total",150
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1603.total",131
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1604.total",112
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1605.total",88
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1606.total",72
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1607.total",75
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1608.total",72
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1609.total",57
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1610.total",64
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1611.total",56
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1612.total",41
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1701.total",88
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1702.total",72
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1703.total",90
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1704.total",79
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1705.total",81
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1706.total",71
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1707.total",76
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1708.total",77
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1709.total",69
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1710.total",63
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1711.total",74
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1712.total",76
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1801.total",75
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1802.total",56
"2015-02-01 00:00:00","first_app:topfacemobappios","*","54,153"
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1501.total",0
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1502.total","1,144"
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1503.total",898
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1504.total",558
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1505.total",461
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1506.total",367
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1507.total",317
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1508.total",267
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1509.total",236
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1510.total",214
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1511.total",186
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1512.total",178
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1601.total",172
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1602.total",122
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1603.total",127
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1604.total",99
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1605.total",88
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1606.total",86
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1607.total",79
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1608.total",82
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1609.total",86
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1610.total",89
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1611.total",75
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1612.total",69
