"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app"
,,,117761082,"2018-04-08 18:23:32",1,"2018-04-09 14:45:01",999,969,147,"Деньги от Payment Ninja",fb,promo.key31,UZ,topfacemobappandroid
,,,117581213,"2018-04-01 06:18:02",1,"2018-04-01 07:14:36",523,366,147,"Деньги от Google Play",fb,Dating,RU,topfacemobappandroid
,,,118558233,"2018-05-09 15:13:46",3,"2018-05-10 03:16:04",1387,970,147,"Деньги от Google Play",fb,TrialVipPopup,IN,topfacemobappandroid
597,12,"2018-04-25 20:44:59",118146076,"2018-04-25 19:53:35",101,"2018-05-15 07:10:15",500,485,19,"Деньги от Payment Ninja",fb,autorefill,BY,topface
,,,117778492,"2018-04-09 03:38:45",3,"2018-04-12 16:15:43",300,291,67,"Деньги от Payment Ninja",fb,EmptyLikes,MX,topfacemobappandroid
9366,63,"2018-04-27 20:36:37",118194899,"2018-04-27 20:36:35",10,"2018-04-30 22:40:05",979,685,147,"Деньги от Google Play",fb,TrialVipPopup,TR,topfacemobappandroid
9555,63,"2018-05-07 11:46:34",118471263,"2018-05-07 11:46:33",4,"2018-05-11 13:46:46",1116,781,147,"Деньги от Google Play",fb,TrialVipPopup,AE,topfacemobappandroid
,,,117657928,"2018-04-04 01:23:44",4,"2018-04-09 14:05:12",1112,778,147,"Деньги от Google Play",fb,TrialVipPopup,RU,topfacemobappandroid
,,,117744173,"2018-04-08 00:26:21",11,"2018-05-08 00:37:03",158,110,67,"Деньги от Google Play",fb,EmptyLikes,TR,topfacemobappandroid
,,,118500034,"2018-05-07 22:20:37",1,"2018-05-09 21:35:04",510,162,68,"Деньги от PaymentWall (mobile)",fb,none,TR,topfacemobappandroid
,,,118489745,"2018-05-07 19:31:14",1,"2018-05-07 20:35:53",281,272,147,"Деньги от Payment Ninja",fb,Visitors,RU,topfacemobappandroid
,,,118359365,"2018-05-04 00:37:45",7,"2018-05-11 17:50:47",500,485,19,"Деньги от Payment Ninja",fb,EmptyLikes,AZ,topfacemobappandroid
,,,117707418,"2018-04-06 11:06:36",15,"2018-04-13 13:05:22",100,97,19,"Деньги от Payment Ninja",fb,autorefill,RU,topfacemobappandroid
